ID,TARGET
1115,-1
1202,-1
1194,-1
1084,1
1135,-1
960,1
1131,1
996,1
1085,1
1063,1
1035,1
997,-1
1042,1
954,1
1126,-1
1122,-1
1167,1
1125,1
1019,1
982,-1
1175,-1
1083,-1
1161,-1
1061,-1
1044,1
948,1
949,1
941,-1
1001,-1
1190,-1
943,1
1011,1
975,1
1213,1
1127,1
1039,-1
1196,-1
1171,-1
2028,1
1746,1
1608,1
1356,-1
2008,-1
1390,1
1337,-1
1830,-1
1217,-1
2037,-1
1989,-1
1984,-1
2147,1
1496,1
1521,-1
1935,-1
1994,-1
1389,1
1433,-1
1371,-1
1469,1
1956,-1
1889,-1
1708,1
2071,1
1407,-1
1339,-1
1582,-1
1805,1
1627,-1
1570,-1
1232,1
2109,-1
1663,1
1664,-1
1590,-1
1465,1
1466,1
1458,1
1741,-1
1245,-1
1444,1
1920,1
1632,1
1439,1
1358,1
1238,-1
1551,1
1404,1
1789,1
1393,-1
1668,-1
1264,-1
2106,-1
1494,-1
2088,-1
2030,-1
1642,-1
2095,-1
1771,-1
1589,1
1959,-1
1961,-1
1760,1
2116,-1
1336,-1
1824,1
1574,-1
1223,-1
1717,-1
1555,1
1998,1
1691,1
1600,-1
1992,1
1958,1
1487,1
2092,-1
1647,1
1807,1
1650,-1
1613,-1
1778,1
1914,1
1550,1
1923,1
1347,-1
1974,-1
1885,-1
1845,-1
2033,-1
1657,1
1884,-1
2136,1
1227,-1
1325,1
2098,-1
1783,1
1774,1
1290,-1
1904,-1
1679,-1
1285,1
1643,1
1740,1
1954,-1
2120,1
1785,1
1633,1
1427,-1
1985,1
1630,1
1298,-1
1441,1
1918,-1
1240,-1
1903,1
1838,1
2009,-1
1523,-1
1259,1
1666,-1
1373,-1
1251,-1
1480,1
1599,-1
1702,1
1928,1
1396,-1
1656,1
1711,1
1644,1
2006,-1
1406,1
1730,1
1296,-1
2099,1
1888,-1
1557,-1
1542,1
1368,-1
1446,-1
1865,-1
1775,1
730,-1
273,-1
911,-1
274,-1
619,-1
31,1
795,-1
807,-1
751,-1
234,-1
244,-1
299,-1
437,1
716,1
617,-1
885,-1
95,-1
750,-1
775,-1
784,-1
802,-1
504,-1
798,-1
403,-1
658,1
369,1
52,-1
513,1
791,-1
133,-1
815,-1
824,1
179,-1
124,-1
471,-1
255,-1
916,1
153,-1
284,1
387,1
508,-1
598,1
323,-1
703,-1
510,1
592,1
467,1
420,1
537,1
410,-1
425,1
318,-1
87,1
578,1
863,-1
20,-1
602,1
803,-1
151,-1
706,1
763,-1
41,1
484,-1
554,1
203,-1
56,1
145,-1
461,-1
585,1
604,1
903,1
679,-1
692,-1
816,-1
887,1
697,1
143,1
64,1
590,1
528,1
454,-1
685,1
413,-1
67,1
345,-1
375,-1
418,-1
874,-1
596,1
363,1
60,1
325,-1
104,1
721,-1
139,-1
897,1
577,-1
75,1
78,-1
73,-1
491,-1
213,1
539,1
218,-1
625,1
846,-1
810,-1
222,-1
125,-1
665,1
261,1
804,-1
828,1
898,-1
6,1
657,-1
770,-1
445,1
870,-1
734,1
683,-1
196,-1
329,-1
126,-1
381,-1
399,-1
88,1
880,-1
194,-1
102,1
699,-1
593,1
564,1
172,-1
483,1
723,-1
726,-1
378,1
385,1
270,1
881,1
30,-1
27,1
700,1
349,1
530,1
1942,-1
1699,1
2020,-1
1793,-1
2086,-1
1744,1
1755,1
1243,1
1355,-1
1812,1
2113,1
1477,1
1939,-1
1486,1
2097,1
1670,-1
1561,-1
1289,-1
1986,-1
1545,-1
1677,-1
1809,1
1000,-1
1913,1
1565,1
1246,-1
1036,1
2031,-1
1283,1
1429,1
1410,-1
1029,-1
1318,1
2032,-1
1434,-1
2044,1
1291,1
2011,-1
1937,-1
1320,1
1901,1
1881,1
1661,1
1257,1
1950,1
1412,-1
1818,1
1707,-1
1388,-1
1541,-1
1700,-1
1129,1
1342,-1
1276,1
1206,-1
2090,-1
967,-1
1597,-1
1591,-1
1615,-1
2096,-1
1294,-1
1915,-1
968,1
1222,1
1579,1
1841,1
2132,1
1873,-1
2114,-1
973,1
1899,-1
1634,-1
1916,1
1729,1
1304,1
1780,1
882,-1
932,-1
1034,1
2014,-1
1026,1
448,-1
988,1
773,-1
2101,-1
1367,-1
649,-1
177,-1
1062,1
228,1
1010,1
1047,1
24,-1
431,1
326,1
1002,-1
1874,1
131,-1
890,-1
1801,1
501,-1
16,1
1158,-1
1653,1
745,-1
428,1
495,1
778,-1
524,1
1460,-1
341,-1
1489,-1
334,1
123,-1
1946,-1
230,-1
629,-1
1626,-1
173,1
893,-1
492,1
384,-1
43,1
121,-1
591,1
704,1
249,1
486,1
339,1
278,-1
463,-1
440,1
217,-1
1349,-1
191,-1
876,-1
223,1
793,-1
1820,1
707,1
271,1
743,-1
569,1
1236,-1
758,-1
558,1
1154,1
1311,-1
1932,1
2119,1
1107,-1
373,1
1619,-1
983,-1
1082,1
1058,-1
719,-1
742,1
782,1
2079,-1
1,-1
188,1
1966,-1
1038,1
900,-1
855,1
417,1
962,1
1687,-1
1835,-1
1369,-1
1629,-1
2103,1
1041,-1
790,-1
1585,1
335,1
2040,1
2023,-1
225,1
1361,-1
1490,-1
2019,-1
1087,1
1594,1
1074,-1
250,1
1601,1
555,-1
383,-1
69,1
1164,1
2018,-1
812,1
109,1
1043,1
1112,1
1181,-1
1922,1
1184,-1
687,1
1280,1
1683,1
11,-1
1979,-1
2127,-1
740,-1
80,-1
142,1
768,-1
1539,-1
1210,-1
1155,1
174,1
738,-1
2026,-1
264,1
180,-1
883,1
1908,-1
1359,1
1268,-1
242,1
1114,-1
792,-1
939,1
354,-1
452,-1
427,1
1151,1
366,-1
35,-1
74,-1
698,1
392,1
1895,-1
155,-1
1720,-1
1806,1
1272,1
1753,1
562,1
414,1
1636,1
280,1
157,-1
434,-1
872,-1
1808,1
814,-1
1833,-1
2062,-1
29,-1
1724,-1
447,1
622,1
374,-1
688,-1
669,-1
1303,1
1919,-1
397,-1
2007,-1
920,1
1395,-1
1247,1
1603,1
1814,1
358,-1
514,1
2000,-1
120,-1
1991,-1
1438,-1
573,1
1967,-1
559,1
416,1
614,-1
253,1
544,1
1794,1
48,-1
821,-1
1770,1
904,1
140,-1
589,1
1534,-1
1471,-1
672,-1
567,1
931,1
82,-1
1450,-1
769,1
7,-1
1515,-1
152,-1
441,1
1419,-1
211,-1
1726,1
475,1
608,1
190,1
1341,-1
776,1
1500,1
307,-1
1340,-1
22,-1
411,-1
668,-1
426,-1
525,-1
702,-1
305,-1
450,-1
817,-1
879,-1
673,-1
1641,1
712,1
1060,1
